Time (s),Speed (m/s),Sigma,Kill Rate,Mode,Row Spacing,Kill Total
300,6,49.5,0.5,5,0,1875.856578
300,6,49.5,0.5,5,0,1873.088322
300,6,49.5,0.5,5,0,1877.944299
300,6,49.5,0.5,5,0,1873.088325
300,6,49.5,0.5,5,0,1873.088326
300,6,49.5,0.5,5,0,1873.088321
300,6,49.5,0.5,5,0,1874.831832
300,6,49.5,0.5,5,0,1873.088322
300,6,49.5,0.5,5,0,1878.344252
300,6,49.5,0.5,5,0,1875.853893
300,6,49.5,0.5,5,0,1875.853893
300,6,49.5,0.7,1,1.98,380.5033218
300,6,49.5,0.7,1,4.95,240.1798575
300,6,49.5,0.7,1,9.9,5.838761376
300,6,49.5,0.7,1,19.8,5.838761376
300,6,49.5,0.7,2,1.98,380.5033218
300,6,49.5,0.7,2,4.95,240.1798575
300,6,49.5,0.7,2,9.9,5.838761376
300,6,49.5,0.7,2,19.8,5.838761376
300,6,49.5,0.7,3,1.98,380.5033218
300,6,49.5,0.7,3,4.95,240.1798575
300,6,49.5,0.7,3,9.9,5.838761376
300,6,49.5,0.7,3,19.8,5.838761376
300,6,49.5,0.7,4,0,1382.812004
300,6,49.5,0.7,4,0,1391.277871
300,6,49.5,0.7,4,0,1388.807418
300,6,49.5,0.7,4,0,1388.490424
300,6,49.5,0.7,4,0,1391.277881
300,6,49.5,0.7,4,0,1388.221866
300,6,49.5,0.7,4,0,1391.277686
300,6,49.5,0.7,4,0,1388.807185
300,6,49.5,0.7,4,0,1388.490385
300,6,49.5,0.7,4,0,1388.807422
300,6,49.5,0.7,4,0,1394.036566
300,6,49.5,0.7,4,0,1388.490424
300,6,49.5,0.7,4,0,1388.807168
300,6,49.5,0.7,4,0,1394.035598
300,6,49.5,0.7,4,0,1391.277676
300,6,49.5,0.7,4,0,1388.80741
300,6,49.5,0.7,4,0,1388.807418
300,6,49.5,0.7,4,0,1394.031938
300,6,49.5,0.7,4,0,1394.031006
300,6,49.5,0.7,4,0,1388.807422
300,6,49.5,0.7,5,0,2492.764302
300,6,49.5,0.7,5,0,2492.764302
300,6,49.5,0.7,5,0,2492.764363
300,6,49.5,0.7,5,0,2492.764302
300,6,49.5,0.7,5,0,2491.337636
300,6,49.5,0.7,5,0,2492.764279
300,6,49.5,0.7,5,0,2492.76382
300,6,49.5,0.7,5,0,2492.761754
300,6,49.5,0.7,5,0,2492.764341
300,6,49.5,0.7,5,0,2492.570052
300,6,49.5,0.7,5,0,2492.572008
300,6,49.5,0.7,5,0,2490.368872
300,6,49.5,0.7,5,0,2492.764279
300,6,49.5,0.7,5,0,2495.808934
300,6,49.5,0.7,5,0,2492.763881
300,6,49.5,0.7,5,0,2492.762704
300,6,49.5,0.7,5,0,2492.76192
300,6,49.5,0.7,5,0,2490.781151
300,6,49.5,0.7,5,0,2492.763058
300,6,49.5,0.7,5,0,2491.337861
300,6,49.5,0.9,1,1.98,397.3568305
300,6,49.5,0.9,1,4.95,262.8073325
300,6,49.5,0.9,1,9.9,7.506978912
300,6,49.5,0.9,1,19.8,7.506978912
300,6,49.5,0.9,2,1.98,397.3568305
300,6,49.5,0.9,2,4.95,262.8073325
300,6,49.5,0.9,2,9.9,7.506978912
300,6,49.5,0.9,2,19.8,7.506978912
300,6,49.5,0.9,3,1.98,397.3568305
300,6,49.5,0.9,3,4.95,262.8073325
300,6,49.5,0.9,3,9.9,7.506978912
300,6,49.5,0.9,3,19.8,7.506978912
300,6,49.5,0.9,4,0,1737.696868
300,6,49.5,0.9,4,0,1730.222287
300,6,49.5,0.9,4,0,1737.697107
300,6,49.5,0.9,4,0,1737.697108
300,6,49.5,0.9,4,0,1724.345681
300,6,49.5,0.9,4,0,1730.229299
300,6,49.5,0.9,4,0,1737.753922
300,6,49.5,0.9,4,0,1728.677311
300,6,49.5,0.9,4,0,1723.618523
300,6,49.5,0.9,4,0,1729.481756
300,6,49.5,0.9,4,0,1726.290762
300,6,49.5,0.9,4,0,1726.290762
300,6,49.5,0.9,4,0,1737.694427
300,6,49.5,0.9,4,0,1739.038342
300,6,49.5,0.9,4,0,1698.054398
300,6,49.5,0.9,4,0,1728.677375
300,6,49.5,0.9,4,0,1737.697071
300,6,49.5,0.9,4,0,1737.697108
300,6,49.5,0.9,4,0,1728.677129
300,6,49.5,0.9,4,0,1728.146575
300,6,49.5,0.9,5,0,3067.847479
300,6,49.5,0.9,5,0,3069.853845
300,6,49.5,0.9,5,0,3067.833169
300,6,49.5,0.9,5,0,3067.839937
300,6,49.5,0.9,5,0,3055.439025
300,6,49.5,0.9,5,0,3048.553628
300,6,49.5,0.9,5,0,3067.833169
300,6,49.5,0.9,5,0,3067.833169
300,6,49.5,0.9,5,0,3062.173558
